"LOJA";"TIPO_CLIENTE";"COMENTARIO";"CATEGORIA_MODELO";"CATEGORIA_ANOTADOR_1";"CATEGORIA_ANOTADOR_2";"OBSERVACOES"
"L5131-TAUBATE SAO GERALDO";"detrator";"COMPREI CHORIZO TEMPERADO E O BABY BIFE TEMPERADOS PURA PIMENTA PENSA EM CASA QUE SE TEM IDOSO QUE ARREPENDIMENTO MAL COMEMOS A CARNE,NINGUEM GOSTOU GASTEI DINHEIRO .";"produto";"produto";"produto";""
"L5059-TUTOIA (1294)";"detrator";"Pedido veio faltando o pão francês";"abastecimento";"abastecimento";"abastecimento";""
"L5098-AUTONOMISTAS (1405)";"neutro";"Acho que sinalizar por especialidade 
um balcao com tudo de por co
outro com tudo de frango";"produto";"loja_fisica";"loja_fisica";""
"L5161-ITANHAEM";"neutro";"Preços de carne vermelha muito alto.";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5016-ANDRADINA (0573)";"neutro";"Talvez um ambiente mais amplo,  onde se possa ver os produtos. 
Se estiver um cliente escolhendo produtos, não se consegue pegar o que vc quer enquanto  a pessoa não se decidir, perda de tempo pra quem tem pressa.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5058-JD. BONFIGLIOLI (1291)";"neutro";"Área dos fruto não,  achei muito alto os preços";"produto";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5112-BAURU";"detrator";"Boa noite , infelizmente achei um pedacinho de osso no frango que comprei pedaços grandes para estrogonofff,  pior minha filha de 6 anos que mordeu e nos mostrou , concluindo é um perigo , peço um pouco mais de atenção nessa qualidade , ainda nao provei mais nada , mais ja tive essa decepção,  obrigado";"produto";"produto";"produto";""
"L5069-AGUA RASA (1322)";"detrator";"Pedido veio faltando os 2 itens mais caros";"abastecimento";"abastecimento";"abastecimento";""
"L5163-TAQUARI";"promotor";"Ter mais opções de postas de peixe.";"loja_fisica";"produto";"produto";""
"L5056-PENHA (1285)";"neutro";"Vocês não se responsabilizam pela entrega depois que sai da loja então deveriam entregar somente dentro de plataformas que assumem isso! Porque fiquei decepcionada quando recebi a mensagem dizendo que ficaria sob minha responsabilidade entregar o código só depois da conferencia! Achei triste!";"abastecimento";"entrega_logistica";"entrega_logistica";""
"L5216-UBATUBA";"promotor";"Mais opções de carnes. 
Para preços melhores";"produto";"produto";"produto";""
"L5266-MATEO BEI";"detrator";"Em.tudo produtos caros preços fora do produto máquinas de preços não funcionam";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5154-RIO CLARO";"promotor";"desconto fidelidade para os clientes";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5176-BRAGANCA PAULISTA";"neutro";"eu sempre achei a swift com preços competitivos em relação a outras boutiques de carne ou supermercados. Essa última vez achei tudo mais caro, resolvi comprar só o necessário. 

outras lojas de carne e os supermercados estão com preços mais atrativos. Claro que estou comparando com os mercados e lojas que tem produtos de qualidade igual ao da swift.
";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5071-BELA VISTA (1326)";"detrator";"Qualidade sempre piorando até as carnes prêmio está ruim compre 2 picanha para churrasco e não dava para comer tive que colocar  na panela de pressão para não perde …. A loja é bagunçada deve falta funcionário que acumulam oque fazer tudo errado ….. peso dos produtos ridículos embalagem menor só para poder alimentar valor";"abastecimento";"produto";"produto";""
"L5152-ALTO DA BOA VISTA";"detrator";"Me enviaram coxa e sobrecoxa ""marca pioneiro"" um bloco de gelo, péssima qualidade, não compro mais.";"abastecimento";"produto";"produto";""
"L5046-VILA CARRAO (1248)";"neutro";"Melhorar a segurança para que não hajam fraudes ou roubo por parte dos e entregadores, e se houver, se certificar de que o cliente não seja prejudicado pelo ocorrido, respeitando o prazo de entrega imediatamente após a detecção do problema que impediu o cliente de receber a compra ! E que esse re-envio seja pelo menos no mesmo dia do prazo original de entrega.";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5152-ALTO DA BOA VISTA";"neutro";"Sempre falta a quantidade de produtos que peço por falta de disponibilidade no estoque";"abastecimento";"abastecimento";"abastecimento";""
"L5174-PERI PERI";"promotor";"Somente no término de atendimento, recomendo ao funcionário do caixa dizer ""obrigado bem risonho"" em todos os casos.";"loja_fisica";"atendimento";"atendimento";""
"L5019-ANGELICA (0684)";"detrator";"Comprei um contra filé desta nova marca a tal Gran Reserva e estava muito duro e cheio de nervos.";"produto";"produto";"produto";""
"L5087-ALBERTO ANDALO (1353)";"neutro";"Não entregaram os produtos tivecque ir na loja retirar";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5215-VILA EMA";"detrator";"Nas gôndolas estava marcando um preço promocional e no caixa, passou outro preço. Fui perceber ao chegar em casa.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5086-PORTAL DO MORUMBI (1352)";"detrator";"o preço continua alto em relação aos açougues, o que não era assim antes, e o atendimento dos caixas sempre demorado e com fila, sobretudo na loja portal do morumbi";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5009-PIRITUBA (0508)";"detrator";"A carne ja esta no mesmo nivel da friboi, pessima, com gosto de amaciante e consistencia de palha. Decepcionado";"produto";"produto";"produto";""
"L5140-OSASCO KM 18";"neutro";"Disponibilizar mais ofertas.
Alguns produtos não tem preço ou não está claro o valor do produto.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5205-GRANJA KM 26";"neutro";"Colocando atendentes mais simpáticas para trabalhar, não com cara de ""acabou o meu sossego"".
Se vc quer ajudar, seja simpática. Simples assim";"loja_fisica";"atendimento";"atendimento";""
"L5033-SANTANA (0868)";"neutro";"Atendimento do caixa precisa melhor";"loja_fisica";"atendimento";"atendimento";""
"L5058-JD. BONFIGLIOLI (1291)";"neutro";"Comprei uma carne moída, o cheiro estava muito forte..";"produto";"produto";"produto";""
"L5176-BRAGANCA PAULISTA";"detrator";"Estive na loja de Bragança Paulista no ultimo domingo, sempre estou por la e o atendimento sempre foi ótimo, mas dessa ultma vez, estava com dificuldade de achar certo produto, cheguei ate o moço que estava repondo mercadoria, dei bom dia e perguntei se ele podia me ajudar, fui completamente ignorada. Achei que ele nao tivesse ouvido, e ainda fiquei perto por alguns instantes esperando que ele virasse. Ele virou e me olhou de cara feia. Achei sozinha, pensei em comentar com a moça que também estava no caixa, mas ela também estava com cara de poucos amigos. Foi a primeira vez que isso ocorreu na unidade. Sei que as vezes clientes sao chatos, e sempre me coloco no lugar de quem está trabalhando final de semana e tento ser o mais gentil e breve possivel, mas infelizmente o atendimento deixou a desejar.";"promocoes_fidelidade";"entrega_logistica";"atendimento";""
"L5019-ANGELICA (0684)";"detrator";"Não concordei com a quantidade que mandaram e obviamente o preço foi além do que queria.
Vcs decidem o tamanho das coisas.
Fora isso,pensei que viria no dia da compra.
Moro na Rua Cotoxó em Perdizes, que é um local cheio de lojas Swift.
A loja que mandou não era do bairro.
Não entendi.
";"abastecimento";"";"entrega_logistica";""
"L5266-MATEO BEI";"neutro";"Não tinha pão de alho nem queijo coalho.";"produto";"abastecimento";"abastecimento";""
"L5232-PARQUE ECOLOGICO";"detrator";"Organizar num mesmo local e freezer os produtos específicos; por exemplo: cortes temperados > todos no mesmo freezer. ontem tive dificuldade p encontrar pois estavam espalhados os cortes tempestados";"abastecimento";"loja_fisica";"loja_fisica";""
"L5214-SAO MIGUEL";"detrator";"atendimento da loja já foi muito melhor, agora colaboradores já não são mais atenciosos, ficam conversando, já gostei mais do atendimento.";"loja_fisica";"atendimento";"atendimento";""
"L5136-RIB.PRETO ALTO DA BOA VISTA";"promotor";"Ter mais opções de cerveja";"loja_fisica";"produto";"produto";""
"L5146-ITATIBA";"neutro";"Melhorando no valor dos produtos";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5114-106 ASA SUL";"neutro";"tive problemas com a entrega... veio por meio de Uber, cara estava com localização errada,...ficou nervoso...queria que eu fosse ao encontro dele...no local que ele tinha como endereço...bem estranho, pois passei endereço correto.";"abastecimento";"entrega_logistica";"entrega_logistica";""
"L5123-SAO VICENTE";"promotor";"Os preços podem ser mais baixos?";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5195-LEME";"detrator";"Qualidade da carne é péssima.";"produto";"produto";"produto";""
"L5127-SAO ROQUE";"promotor";"Gostei muito  veio direitinho  ,bem embalado  ,e os produtos  de boa qualidade  ,,já comprei  outras vezes e continuarei comprando  .";"produto";"produto";"produto";""
"L5251-JANGADEIROS";"promotor";"Me dando um bolsa térmica.";"loja_fisica";"produto";"produto";""
"L5097-JUNDIAI (1404)";"neutro";"Muitos produtos faltantes para minha localidade. O App não funciona, nem consigo terminar o cadastro; tenho que fazer o pedido pelo site.";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5259-ALL WAYS MALL";"promotor";"Acho que a expansão da marca seria o ideal, os produtos são de qualidade os preços de alguns produtos são bons";"outros";"loja_fisica";"loja_fisica";""
"L5103-ATIBAIA (1454)";"neutro";"Poderia melhorar a qualidade das carnes da Marca Swift. Carne de linha 2 e duras.";"outros";"produto";"produto";""
"L5223-CAMPO LIMPO";"promotor";"Volto a dizer, como sempre venho opinando, que as porções de costelinha de porco temperadas, poderiam vir em pesos igual ou inferior a 500gr. Tendo em vista que o produto é congelado em peça, seria interessante que atendesse também a pessoas que moram sozinhas, para o dia a dia.";"abastecimento";"abastecimento";"abastecimento";""
"L5098-AUTONOMISTAS (1405)";"promotor";"Melhor que isso, não tem!";"loja_fisica";"outros";"outros";""
"L5230-LARGO DO MACHADO";"detrator";"Sempre gostei dos produtos da Swift, porém gostaria de registrar aqui minha decepção com o último produto comprado.
O produto foi o ""Espetinho de Panceta Temperada"" ao qual na embalagem a informação diz ""Carne temperada congelada de suíno"", porém o que veio nos espetinhos foi gordura e banha pura ! Quase 60% dos espetinhos eu tive que jogar fora porque não era espetinho de carne com gordura e sim, gordura com lascas de carne. Um absurdo ! Não pude dar um espetinho para minha filha porque seria um crime dar gordura para uma criança comer. Foi quase tudo para o lixo ! O detalhe foi que eu comprai mais de um pacote e todos estavam da forma forma. Não sei como o controle de qualidade da Swift pode deixar passar um produto de tão má qualidade assim. Para mim, foi decepção pura. Péssimo !";"abastecimento";"produto";"produto";""
"L5201-ANA COSTA";"detrator";"Atendimento péssimo, abaixo de zero pela funcionária do caixa que pela minha compra vcs irão conseguir identificar aí. A loja estava vazia , ela com pressa , conversando com outra funcionária, sem dar atenção ao que eu perguntava e  total descaso .Por último pedi pra colocar uma outra sacola de reforço pois comprei duas mercadorias e tb por estarem congeladas e a embalagem ser plástico e pontiagudo poderia rasgar facilmente, antes mesmo de eu terminar ar de pedir educadamente , ela já deu quase que um grito em tom bem alto : Eu vou colocaaaaaar , fiquei tão constrangido que peguei minha compra e saí todo sem graça da loja . Atendimento simplesmente ridículo.";"abastecimento";"atendimento";"atendimento";""
"L5250-VILA RICA";"detrator";"desorganização  na fila de atendimento.";"loja_fisica";"atendimento";"atendimento";""
"L5020-VILA MARIANA 2 (0779)";"promotor";"Dar créditos aos clientes pela fidelidade. Não existe qquer ganho por ser fiel a Swift";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5209-ITABERABA";"neutro";"Resolver referente ao valor cobrado e valor faturado";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5155-SUZANO";"neutro";"Comprei uma costela direto ao forno segui as instruções, porém o tempo de cozimento foi muito muito maior que o citado na embalagem para o peso do produto";"abastecimento";"produto";"produto";""
"L5266-MATEO BEI";"detrator";"Tendo mais qualidade clareza a oferecer";"abastecimento";"abastecimento";"abastecimento";""
"L5242-RECREIO";"neutro";"Eu compro todo mês,fiz uma reclamação sobre produto entregue fora da qualidade e não obtive nenhuma resposta. Falta de atenção com o consumidor.";"promocoes_fidelidade";"produto";"produto";""
"L5071-BELA VISTA (1326)";"promotor";"Há tempos não encontro a Tulipa temperada SWIFT. Eu gosto apenas dela justamente por ser congelada individualmente. A marca que está sendo comercializada não tem essa característica, o que torna impossível preparar uma pequena quantidade.";"outros";"abastecimento";"abastecimento";""
"L5232-PARQUE ECOLOGICO";"promotor";"primeira vez que fui à loja e realmente me impressionou muito pelo atendimento, presteza e limpeza, fora a qualidade e preço. parabéns";"atendimento";"atendimento";"atendimento";""
"L5158-LEBLON";"promotor";"Eu amo os produtos e gostaria de receber as ofertas";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5059-TUTOIA (1294)";"promotor";"Abastecimento e promoções.";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5204-ITAQUA";"promotor";"MUITO BOM ENTREGA PERFEITA NO HORARIO, PARABENS..";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5261-UNIMART";"detrator";"Carne moida de patinho estragada";"produto";"produto";"produto";""
"L5148-PARQUE DO CARMO";"promotor";"Guilherme realizou um excelente atendimento para nós, com dica de carne, e outros ítens para churrasco.";"produto";"atendimento";"atendimento";""
"L5248-SBC PEREIRA BARRETO";"neutro";"Sei que foi um dia de reposição de estoque e prateleira. Entretanto, não seria motivo de falta de tantos produtos.(ex: peito de frango, filé mignon suíno, e outros.
Desta vez, percebi que as carnes estavam menos limpas nos cortes. Comparando com compras anteriores.";"abastecimento";"abastecimento";"abastecimento";""
"L5056-PENHA (1285)";"detrator";"Melhorar as peças de carne , como no começo da loja.";"produto";"produto";"produto";""
"L5242-RECREIO";"neutro";"frango de padaria nunca mais econtrei";"produto";"abastecimento";"abastecimento";""
"L5277-VILA CURUCA (NORDESTINA)";"promotor";"Atendentes são bem educados loja sempre limpa";"loja_fisica";"atendimento";"atendimento";""
"L5141-ALTO TAQUARAL";"neutro";"Comprei uma kafta e estava totalmente cheia de nervos, porém pela qualidade(ruim)preço bem elevado.";"produto";"produto";"produto";""
"L5042-IPIRANGA (1237)";"neutro";"Deixar coerente as promoções onde os valores com real desconto seja aparente e não em ""letras miúdas"" indicando que valida se comprar dois de cada.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5103-ATIBAIA (1454)";"detrator";"Uma fila de 7 pessoas e uma atendente de caixa apenas. Um absurdo e total falta de respeito com o cliebte. Essa loja de Atibaia deveria fechar pelo péssimo atendimento que presta aos clientes";"loja_fisica";"atendimento";"atendimento";""
"L5025-PANAMBY (0817)";"promotor";"Cuidar bem dos seus colaboradores, São pessoas maravilhosas, atenciosos, mais um pouco sobrecarregados";"loja_fisica";"atendimento";"atendimento";""
"L5185-CLODOMIRO";"promotor";"Mais ofertas leve mais e pague menos.";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5047-SAO BERNARDO (1255)";"neutro";"preços mais baratos";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5218-PARELHEIROS";"neutro";"Fui comprar um produto estava em falta";"abastecimento";"abastecimento";"abastecimento";""
"L5233-MONGAGUA";"promotor";"Poderiam dar brindes por comprar acima
Dos 100 reais";"abastecimento";"outros";"promocoes_fidelidade";""
"L5116-ENSEADA";"neutro";"Alguns atendentes parecem não gostar de falar das ofertas, que estão sinalizadas, isso varia de loja para loja.";"abastecimento";"atendimento";"atendimento";""
"L5159-COTIA KM 39";"promotor";"Loja sempre impecável. Atendimento nota 10! Satisfeita";"loja_fisica";"atendimento";"atendimento";""
"L5182-SAO JOSE DO RIO PRETO (DAMHA)";"detrator";"Os atendentes não tem tempo de sugerir ou ajudar pois são poucos para o volume da loja ,estão repondo mercadoria e fazendo venda.
Os produtos são variados mais a qualidade não acompanha o padrão Swift.
Faltou alguns produtos anunciados na loja com cartaz e não tinha mais no estoque.
Na loja do dama tinha freezer quebrado .
A quantidade de produtos ofertados no site são poucos na gôndola para escolher.
Caiu muito o padrão de qualidade da marca. Infelizmente.";"abastecimento";"produto";"produto";""
"L5068-BOSQUE DA SAUDE (1321)";"neutro";"O estacionamento poderia ser melhor. Bastante difícil sair à noite das vagas que ficam mais perto do ponto de ônibus, porque, além do próprio ponto, tem um poste de luz ou de placa de sinalização que dificulta bastante a manobra.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5059-TUTOIA (1294)";"detrator";"MELHOREM O SISTEMA APP
MELHOREM NAS ENTREGAS
HORÁRIO QUE O CLIENTE
PRECISA

SE,COMPRAS  E
NÃO TER CERTOS PRODUTOS?

PROPRIO SISTEMA APAGA!";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5151-PINDAMONHANGABA";"neutro";"Abaixando o preço dos produtos,  principalmente da carne.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5102-POMPEIA DESEMBARGADOR (1449)";"promotor";"Só tenho que agradecer! Todos  colaboradores principalmente Joelma e geovana";"loja_fisica";"atendimento";"atendimento";""
"L5047-SAO BERNARDO (1255)";"promotor";"Vcs são  muitos bom não.precisa melhora em nada tudo ótimo  já aproveitando gostaria de sabe se vcs poderia nos ajudar com alguma doação pra nós realizarmos uma festinha pra crianças. Agora no mês delas são poucas crianças e da igreja  dez de já meu muito obrigado";"atendimento";"outros";"outros";""
"L5101-CIDADE SAO FRANCISCO (1432)";"promotor";"Caio e a gerente Maria Eduarda muito simpáticos. Precisava escolher carne pra 15 pessoas me ajudaram a escolher os melhores cortes.";"loja_fisica";"atendimento";"atendimento";""
"L5176-BRAGANCA PAULISTA";"promotor";"Tudo perfeito  local e qualidade.";"produto";"loja_fisica";"loja_fisica";""
"L5059-TUTOIA (1294)";"neutro";"A loja na rua Tutoia esta sempre com falta de produtos e caixas e mais caixas de produtos no meio da loja dando uma impresão de algo desorganizado .Além de muitos produtos que não são da Swifit ocupando espaços que antes estavam livres para o cliente circular pela loja.";"abastecimento";"abastecimento";"loja_fisica";""
"L5102-POMPEIA DESEMBARGADOR (1449)";"neutro";"Não encontrei lombo temperado, não encontrei pernil";"produto";"abastecimento";"abastecimento";""
"L5252-14 DE DEZEMBRO";"neutro";"O bife de chorizo não estava tão bom assim e veio com alguns pedaços de nervos.";"outros";"produto";"produto";""
"L5178-PERIMETRAL";"detrator";"Na loja que fui estava faltando vários produtos.";"abastecimento";"abastecimento";"abastecimento";""
"L5021-VILA SAUDE (0782)";"neutro";"Geladeira c pouquíssimas peças de fraldinha..";"abastecimento";"abastecimento";"abastecimento";""
"L5106-GUILHERMINA (1516)";"neutro";"Parar de enganar o cliente com dois preços para o mesmo produto.";"abastecimento";"atendimento";"atendimento";""
"L5078-CAMPO BELO 2 (1342)";"detrator";"Entregaram o pedido errado e ainda não corrigiram o erro ????????????????????????????";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5207-SANTO ANDRE ORATORIO";"detrator";"O caixa se negou a receber o vale alimentação 
Dizendo q estava com problemas 
Mais na verdade nem mesmo tentou 
E no caso de ter mesmo o problema ...teria q ser feito antes das compras e nao no caixa ... atendimento final ......
Detalhe a loja recebe ...vale alimentação 
Mais essa em si ....ta sempre com problemas";"promocoes_fidelidade";"atendimento";"atendimento";""
"L5005-BROOKLIN (0475)";"neutro";"Comprei um patinho para strogonoff, mas tinha muito nervo na carne. Tá certo que não era um filé mignon, mas tive a sensação de que o preparo dos pacotes é composto por uma quantidade pré-determinada de carne normal e carne com nervo.";"produto";"produto";"produto";""
"L5100-INTERLAGOS (1431)";"promotor";"Deveríamos ser informados das promoções das lojas.
Deixei meu numero com a atendente do caixa para ser incluída no grupo da loja, para saber das promoções , mas não aconteceu.";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5202-VILA CAICARA";"promotor";"foi o melhor atendimento que tive dentro de uma loja swift";"loja_fisica";"atendimento";"atendimento";""
"L5054-PLANALTO (1279)";"neutro";"Repondo o que falta. Um simples filé de frango, não encontrei. Carnes bovinas muito gordurosas. Mais sebo que carne. Acém e músculo picados é muito ruim.";"produto";"abastecimento";"abastecimento";""
"L5106-GUILHERMINA (1516)";"neutro";"Tirar os TRANGÊNICOS. Observei que esse produto tem aumentado muito na Swift";"abastecimento";"abastecimento";"produto";""
"L5207-SANTO ANDRE ORATORIO";"promotor";"Ultimamente está faltando alguns produtos na loja,seus vendedores alegam que os caminhões estão trazendo pouca mercadoria";"abastecimento";"abastecimento";"abastecimento";""
"L5097-JUNDIAI (1404)";"detrator";"O medalhão de picanha nao estava bom. Parece colchão duro.";"produto";"produto";"produto";""
"L5013-GRANJA VIANA (0545)";"detrator";"Não recebi meu pedido , recebi a notificação falando que foi entregue, porém não recebi";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5051-VILA PRUDENTE (1276)";"promotor";"Atendimento muito bom nessa loja.
Parabéns a equipe!";"produto";"atendimento";"atendimento";""
"L5245-MAUA 2";"neutro";"Melhorando os preços";"atendimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5024-VALINHOS (0814)";"promotor";"Ter opção  de espeto de queijinho com orégano";"promocoes_fidelidade";"produto";"produto";""
